Facility Name|Health Facility Type|Catchment Area|Ownership Major Classification|Region Name                                             |Region PSGC|Province Name |Province PSGC|City/Municipality Name|Barangay Name|Latitude|Longitude|Precision Latitude/Longitude|catchment_area_icon
AURORA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|TONDO I / II|BARANGAY 251|14.614591|120.977323|High|pin
AURORA QUEZON HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|TONDO I / II|BARANGAY  84|14.617478|120.9670061|High|pin
BO. FUGOSO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|TONDO I / II|BARANGAY  28|14.603632|120.963615|High|pin
BO. MAGSAYSAY HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|TONDO I / II|BARANGAY  85|14.6184|120.96487|High|pin
BO. OBRERO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|TONDO I / II|BARANGAY 199|14.6342987|120.9790149|High|pin
DAGUPAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|TONDO I / II|BARANGAY  50|14.6138238|120.9730277|High|pin
J. POSADAS HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|TONDO I / II|BARANGAY 139|14.6311236|120.9675695|High|pin
PALOMAR HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|TONDO I / II|BARANGAY 259|14.6058997|120.9756532|High|pin
PAROLA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|TONDO I / II|BARANGAY  20|14.5999754|120.9613973|High|pin
PATRICIA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|TONDO I / II|BARANGAY 183|14.6341231|120.9740277|High|pin
RAMON MAGSAYSAY HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|TONDO I / II|BARANGAY 223|14.624746|120.978021|High|pin
SMOKEY MOUNTAIN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|TONDO I / II|BARANGAY 128|14.63259|120.96213|High|pin
TAYABAS HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|TONDO I / II|BARANGAY 228|14.621653|120.975977|High|pin
TONDO FORESHORE HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|TONDO I / II|BARANGAY 118|14.6144124|120.9606653|High|pin
TONDO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|TONDO I / II|BARANGAY 165|14.626034|120.973641|High|pin
VELASQUEZ HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|TONDO I / II|BARANGAY  97|14.6213916|120.9646976|High|pin
VITAS HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|133900000|TONDO I / II|BARANGAY 101|14.62688|120.96214|High|pin
ADMIRAL HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|TALON TRES|14.4421962|121.0013246|High|pin
ALMANZA II HEALTH CENTER (T. S. CRUZ HC)|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|ALMANZA DOS|14.418324|121.017822|Medium|pin
ALMANZA UNO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|ALMANZA UNO|14.4184987|121.0178381|High|pin
BALAGTAS HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|PAMPLONA UNO|14.460805|120.974195|High|pin
BASA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|ZAPOTE|14.465197|120.968328|High|pin
BERNABE HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|PULANG LUPA UNO|14.471421|120.972046|High|pin
BF CARNIVAL HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|TALON DOS|14.4323996|120.985684|High|pin
CAA-A HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|B. F. INTERNATIONAL VILLAGE|14.461437|120.995847|High|pin
CAA-B HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|B. F. INTERNATIONAL VILLAGE|14.4568128|120.9981966|High|pin
CAA-C HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|B. F. INTERNATIONAL VILLAGE|14.455252|121.00102|High|pin
CAA-D HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|B. F. INTERNATIONAL VILLAGE|14.4590332|120.9966594|High|pin
CALLEJO MEDICAL CLINIC|Infirmary|Yes|Private|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|TALON UNO|14.438745|120.998119|High|pin
DANIEL FAJARDO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|DANIEL FAJARDO|14.481911|120.981152|High|pin
ELIAS ALDANA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|ELIAS ALDANA|14.477546|120.979864|High|pin
EMPLOYEES CLINIC|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|PAMPLONA TRES|14.4502678|120.9829498|High|pin
GATCHALIAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|MANUYO DOS|14.47091|120.991897|High|pin
GOLDEN ACRES HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|TALON UNO|14.4175095|120.9978038|High|pin
ILAYA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|ILAYA|14.477408|120.981311|High|pin
MANUYO UNO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|MANUYO UNO|14.483118|120.984679|High|pin
PAMPLONA I HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|PAMPLONA UNO|14.458548|120.970332|High|pin
PAMPLONA II HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|PAMPLONA DOS|14.449443|120.974929|High|pin
PAMPLONA III HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|PAMPLONA TRES|14.455591|120.98384|High|pin
PILAR HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|PILAR|14.421385|121.0085276|High|pin
PUGAD LAWIN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|ALMANZA DOS|14.4078108|121.006582|High|pin
PULANG LUPA I HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|PULANG LUPA UNO|14.471478|120.977619|High|pin
PULANG LUPA II HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|PULANG LUPA DOS|14.461314|120.985161|High|pin
TALON I HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|TALON UNO|14.438606|121.0027025|High|pin
TALON II HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|TALON DOS|14.4401368|120.9916832|High|pin
TALON IV HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|TALON KUATRO|14.43403|120.99765|High|pin
TALON V RURAL HEALTH UNIT (MOONWALK RURAL HEALTH UNIT )|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|TALON SINGKO|14.4232646|120.996025|High|pin
URBANVILLE HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|TALON TRES|14.4405761|121.0116846|High|pin
ZAPOTE HEALTH CENTER (BAGONG LIPUNAN)|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF LAS PI?AS|ZAPOTE|14.464465|120.976706|High|pin
BANGKAL HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|BANGKAL|14.542502|121.014286|High|pin
CARMONA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|CARMONA|14.57728|121.018062|High|pin
CEMBO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|CEMBO|14.564132|121.051556|High|pin
COMEMBO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|COMEMBO|14.548988|121.06548|High|pin
EAST REMBO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|EAST REMBO|14.551624|121.062332|High|pin
GUADALUPE NUEVO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|GUADALUPE NUEVO|14.561891|121.045362|High|pin
GUADALUPE VIEJO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|GUADALUPE VIEJO|14.564355|121.039808|High|pin
KASILAWAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|KASILAWAN|14.575773|121.01586|High|pin
LA PAZ HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|LA PAZ|14.568174|121.007395|High|pin
MAKATI CITY HEALTH OFFICE|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|POBLACION|14.56989|121.026627|High|pin
OBLIZA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|OLYMPIA|14.574476|121.021255|High|pin
PALANAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|PALANAN|14.560446|121.005283|High|pin
PEMBO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|PEMBO|14.543429|121.060266|High|pin
PINAGKAISAHAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|PINAGKAISAHAN|14.558165|121.041083|High|pin
PIO DEL PILAR PUERICULTURE CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|PIO DEL PILAR|14.552619|121.011616|High|pin
PIO DEL PILAR RURAL HEALTH UNIT|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|PIO DEL PILAR|14.549591|121.011564|High|pin
PITOGO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|PITOGO|14.55691|121.046701|High|pin
POBLACION HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|POBLACION|14.567416|121.032526|High|pin
