ID|Facility_Code|Facility Name|Region Name|Province_name|City/Municipality Name|Barangay Name|Health Facility Type|Ownership Major Classification|Date Operational|Operational Status|Functionality_status|total_no_of_days_operational_in_week|opeational_days_in_month|Machine_operation_hours_daily|total_hours_operation_in_month|Total Machines|Combined Total Modules of ALL GX machines|Combined Total of Functional Modules|Combined Total of Non-Functional Modules|avg_time_to_complete_test_in_hr|Estimated_test_can_be_done_in_month|Total_test_completed|Percentage_utilization|Xpert_utilization_rate|Percentage_availability|utilization_threshold|Latitude|Longitude|average_utilization|staddev_utilization|zscore|Open_From|Open_To|Source_latitude|Source_longitude|amount|Disease_type|STrider_allocated|stRider_location_lat|stRider_location_long|stRider_address|mean_utilization|std_deviation|zscore_calculated|UtilizationCategory|Source_lat|Source_lon|Source_lat_rad|Source_lon_rad|Latitude_rad|Longitude_rad|Distance_to_Source_km|Cluster|source_facility_icon|target_facility_icon|DrivingDistance|DrivingTime|route_path_string
11|DOH000000000000727|Rizal Medical Center|NATIONAL CAPITAL REGION|NCR, SECOND DISTRICT|CITY OF PASIG|BAGONG ILOG|Hospital|NCR, SECOND DISTRICT (Not a Province)|21-03-2018|Operational|Functional|5|20|12|240|1|4|4|0|3|320|291.0|90.94|72.75|100.0|0|14.564082|121.0658777|50.61693694|34.2588236|1.177012484|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|3643|HIV|MIRANDA, Emmanuel N.|14.57636261|121.0920004|25 B Harrison, Pasig, 1607 Metro Manila, Philippines|50.61693693693694|34.258823595808344|1.1770124841063336|Overutilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.2541911834304408|2.1129981776817797|8.736171102352479|Cluster_10km|car|place|4.0|00:10:16|LINESTRING (121.091993 14.576338,121.09116 14.57657,121.09078000000001 14.57651,121.09088 14.575300000000002,121.08510999999997 14.57636,121.07612999999996 14.566020000000004,121.07025999999998 14.56612,121.06889999999997 14.56329,121.06546999999993 14.564150000000003,121.06561999999994 14.564130000000004)
12|DOH000000000000788|Taguig Pateros District Hospital|NATIONAL CAPITAL REGION|NCR, FOURTH DISTRICT|TAGUIG CITY|WESTERN BICUTAN|Hospital||17-06-2019|Operational|Functional|4|16|12|192|1|4|4|0|3|256|400.0|96.56|100|100.0|0|14.510543|121.034078|50.61693694|34.2588236|1.341057813|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|520|HIV|AMOR, Willyfield D.|14.50645|121.0455|DBP Ave, Taguig, 1630 Metro Manila, Philippines|50.61693693693694|34.258823595808344|1.3410578134587294|Overutilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.25325675160221556|2.1124431682156333|9.162371065069289|Cluster_10km|car|place|1.7|00:04:40|LINESTRING (121.045507 14.506438,121.04218 14.504739999999998,121.04205 14.505039999999997,121.03881999999997 14.50601,121.03801999999997 14.506039999999999,121.03570999999997 14.506659999999995)
13|DOH000000000000802|Valenzuela Medical Center|NATIONAL CAPITAL REGION|NCR, THIRD DISTRICT|CITY OF VALENZUELA|KARUHATAN|Hospital|NCR, THIRD DISTRICT (Not a Province)|02-02-2015|Operational|Functional|5|20|12|240|1|4|3|1|3|240|450.0|96.56|112.5|75.0|1|14.689624|120.978473|50.61693694|34.2588236|1.341057813|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|3709|HIV|KELLEY, Mark Lester C.|14.6852989|120.9908765|P222+W5C, Valenzuela, Metro Manila, Philippines|50.61693693693694|34.258823595808344|1.3410578134587294|Overutilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.2563823046799795|2.111472677885062|12.371603355373194|Cluster_gthn_10km|car|place|1.6|00:03:55|LINESTRING (120.99089 14.68531,120.97837999999996 14.689269999999995)
14|DOH000000000000812|Almanza Uno Health Center|NATIONAL CAPITAL REGION|NCR, FOURTH DISTRICT|CITY OF LAS PINAS|ALMANZA UNO|Rural Health Unit|Government|01-10-2019|Operational|Functional|2|8|12|96|1|4|2|2|3|64|141.0|96.56|35.25|50.0|1|14.4184987|121.0178381|50.61693694|34.2588236|1.341057813|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|1935|TB|DELA CRUZ, Eleazar C.|14.4562418|120.9945891|FX5J+FFP, Las Piñas, Metro Manila, Philippines|50.61693693693694|34.258823595808344|1.3410578134587294|Overutilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.2516502755095221|2.1121597284904388|18.128292195921308|Cluster_gthn_10km|car|place|6.5|00:12:59|LINESTRING (120.99455 14.4562,120.99384999999998 14.44459,121.02248000000002 14.427910000000008,121.01921 14.417500000000011)
15|DOH000000000000817|Atang Dela Rama Health Center|NATIONAL CAPITAL REGION|NCR, FIRST DISTRICT|TONDO I / II|BARANGAY 175|Rural Health Unit|Government|04-06-2019|Operational|Functional|5|20|12|240|1|4|4|0|3|320|115.0|35.94|28.75|100.0|0|14.629097|120.971749|50.61693694|34.2588236|-0.428413337|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|64|HIV|BUGAWAN, Marcelo G. Jr.|14.62796918|120.9639863|C. Playa, Tondo, Manila, Metro Manila, Philippines|50.61693693693694|34.258823595808344|-0.4284133369580356|Optimally Utilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.2553259092436249|2.111355321946158|5.822567224332476|Cluster_10km|car|place|1.2|00:03:36|LINESTRING (120.963977 14.627965,120.96419 14.62748,120.96548 14.62803,120.96661999999999 14.625830000000004,120.97123000000002 14.629240000000005,120.97176100000001 14.629178000000005)
16|DOH000000000000840|Krus na Ligas Health Center|NATIONAL CAPITAL REGION|NCR, SECOND DISTRICT|QUEZON CITY|KRUS NA LIGAS|Rural Health Unit|Government|01-10-2019|Operational|Functional|5|20|12|240|1|4|4|0|3|320|159.0|49.69|39.75|100.0|0|14.644362|121.064056|50.61693694|34.2588236|-0.027056882|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|2753|TB|CALAYWAN, Genesis|14.6872734|121.1056781|J3G3+CR Quezon City, Metro Manila, Philippines|50.61693693693694|34.258823595808344|-0.027056881691943244|Optimally Utilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.2555923337539418|2.112966383018796|11.127234882833426|Cluster_gthn_10km|car|place|10.7|00:20:17|LINESTRING (121.10568 14.68709,121.10538000000001 14.687149999999999,121.10542000000001 14.687549999999998,121.10504000000002 14.687969999999996,121.10119000000002 14.690799999999994,121.09918 14.690179999999994,121.09759 14.689609999999993,121.09611000000001 14.691379999999993,121.0894 14.686439999999992,121.08559000000002 14.683999999999992,121.05147000000002 14.652969999999996,121.05399000000004 14.654149999999996,121.05841000000002 14.654729999999994,121.06431000000002 14.647679999999996,121.06379000000004 14.647299999999996,121.06406200000005 14.644363)
17|DOH000000000000844|Dimasalang Health Center|NATIONAL CAPITAL REGION|NCR, FIRST DISTRICT|SANTA CRUZ|BARANGAY 368|Rural Health Unit|Government|09-08-2018|Operational|Functional|5|20|12|240|1|4|4|0|3|320|278.0|86.88|69.5|100.0|0|14.6227366|120.9874593|50.61693694|34.2588236|1.058502869|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|3783|HIV|CALISIN, Carlo A.|14.67192|120.98271|2nd Flr, 1441-1449 Tayuman St, Santa Cruz, Manila, 1014 Metro Manila, Philippines|50.61693693693694|34.258823595808344|1.0585028689514002|Overutilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.2552148993218811|2.111629518407634|4.909000363031102|Cluster_5km|car|place|6.1|00:15:27|LINESTRING (120.98271 14.67192,120.98206 14.67193,120.98392999999997 14.657500000000006,120.9806399999999 14.632580000000011,120.98271999999992 14.62911000000001,120.9878599999999 14.624820000000012,120.9878099999999 14.622650000000013,120.9874559999999 14.622665000000012)
18|DOH000000000000847|Potrero Health Center|NATIONAL CAPITAL REGION|NCR, THIRD DISTRICT|CITY OF MALABON|POTRERO|Rural Health Unit|NCR, THIRD DISTRICT (Not a Province)|01-07-2019|Operational|Functional|5|20|12|240|1|4|3|1|3|240|164.0|68.33|41|75.0|0|14.6625828|120.98493|50.61693694|34.2588236|0.517036524|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|2029|TB|LAQUINDANUM, Raul|14.67080616|120.9696261|B. Rivera St, Malabon, Metro Manila, Philippines|50.61693693693694|34.258823595808344|0.517036523846963|Optimally Utilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.2559103467062892|2.1115853737948633|9.33836466166501|Cluster_10km|car|place|2.3|00:06:38|LINESTRING (120.969639 14.670811,120.97007 14.669640000000001,120.98075000000006 14.665980000000003,120.98061000000004 14.663260000000005,120.98333000000004 14.663180000000006,120.98412000000005 14.662730000000007)
19|DOH000000000000850|Esperanza Health Center|NATIONAL CAPITAL REGION|NCR, FIRST DISTRICT|PANDACAN|BARANGAY 842|Rural Health Unit|Government|09-12-2019|Operational|Functional|5|20|12|240|1|4|4|0|3|320|98.0|30.63|24.5|100.0|0|14.6006291|121.012996|50.61693694|34.2588236|-0.583409903|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|621|TB|MANESE, Daryl|14.6103931|120.9868841|Dapitan St, cor Santander St, Sampaloc, Manila, Philippines|50.61693693693694|34.258823595808344|-0.5834099025917047|Optimally Utilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.25482905065749645|2.112075217902728|3.791081395912886|Cluster_5km|car|place|3.7|00:09:44|LINESTRING (120.986885 14.610392,120.98636 14.609939999999998,120.98944 14.606719999999997,120.99122999999999 14.604709999999994,120.99134 14.603069999999994,120.99164999999999 14.603119999999993,120.99224999999998 14.601329999999992,120.99736999999999 14.600809999999997,121.01050000000001 14.602129999999988,121.01176000000001 14.602239999999988,121.01327 14.600769999999986,121.01307600000001 14.600559999999987)
20|DOH000000000000870|Navotas Medical and Wellness Center|NATIONAL CAPITAL REGION|NCR, THIRD DISTRICT|CITY OF NAVOTAS|SAN JOSE (POB.)|Rural Health Unit||08-09-2015|Operational|Functional|5|20|12|240|2|8|6|2|3|480||0.0|0|75.0|0|14.65800119|120.9479336|50.61693694|34.2588236|-1.477486137|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|2293|TB|DE JESUS, Enrique J.|14.6133321|121.0070635|14 1A Premero de Mayo St, Galas, Quezon City, 1113 Metro Manila, Philippines|50.61693693693694|34.258823595808344|0.0|Underutilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.25583038252674695|2.110939664803478|9.736441580328506|Cluster_10km|car|place|11.2|00:25:05|LINESTRING (121.00712 14.61335,121.00738 14.613280000000001,121.00787 14.613850000000001,121.00791000000001 14.618290000000002,121.00527000000001 14.618060000000002,120.99589999999999 14.637690000000006,120.99387999999999 14.637400000000005,120.99378 14.643750000000006,120.98365999999999 14.644549999999997,120.95604999999998 14.639399999999984,120.94983999999997 14.652459999999985,120.94871999999998 14.654879999999984,120.94763999999996 14.657589999999983,120.94785999999996 14.657659999999982,120.94780999999996 14.657829999999983,120.94797299999996 14.657879999999983)
21|DOH000000000000872|Arsenia J. Maximo Health Center|NATIONAL CAPITAL REGION|NCR, SECOND DISTRICT|QUEZON CITY|NOVALICHES PROPER|Rural Health Unit|Government|01-08-2017|Operational|Functional|3|12|12|144|1|4|4|0|3|192|182.0|94.79|45.5|100.0|0|14.720749|121.039522|50.61693694|34.2588236|1.289392292|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|3105|TB|EVANGELISTA, Jomar|14.676097|121.0435686|M2CQ+74 Quezon City, Metro Manila, Philippines|50.61693693693694|34.258823595808344|1.2893922915808398|Overutilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.25692553840966276|2.112538183940112|16.817763642946517|Cluster_gthn_10km|car|place|7.0|00:16:25|LINESTRING (121.043572 14.676097,121.04351999999999 14.674900000000001,121.04373 14.676110000000003,121.03219000000003 14.677049999999992,121.02944 14.689299999999994,121.0279 14.690619999999996)
22|DOH000000000000876|Bagong Pag-Asa Health Center|NATIONAL CAPITAL REGION|NCR, SECOND DISTRICT|QUEZON CITY|BAGONG PAG-ASA|Rural Health Unit|Government|22-10-2019|Operational|Functional|5|20|12|240|1|4|4|0|3|320|133.0|41.56|33.25|100.0|0|14.6622805|121.0341009|50.61693694|34.2588236|-0.264368008|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|1061|Covid-19|ESTOMATA, Anthony|14.6658717|121.0678729|5 Valerio Kalaw, Quezon City, Metro Manila, Philippines|50.61693693693694|34.258823595808344|-0.2643680076056399|Optimally Utilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.25590507057596046|2.1124435678960323|10.641237653112784|Cluster_gthn_10km|car|place|5.8|00:12:07|LINESTRING (121.067899 14.665975,121.06832 14.66597,121.06745999999998 14.66456,121.06812999999998 14.66394,121.05139 14.652920000000002,121.04663 14.652780000000005,121.03524000000003 14.654590000000004,121.03678000000002 14.662380000000008,121.03652000000001 14.661080000000007,121.03459000000001 14.661540000000006,121.03469000000001 14.662010000000006,121.03406600000001 14.662147000000006)
23|DOH000000000000885|Punturin 3S Health Center|NATIONAL CAPITAL REGION|NCR, THIRD DISTRICT|CITY OF VALENZUELA|PUNTURIN|Rural Health Unit||04-12-2019|Operational|Functional|5|20|12|240|1|4|3|1|3|240|138.0|57.5|34.5|75.0|0|14.7410429|120.9903097|50.61693694|34.2588236|0.200913585|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|951|HIV|KELLEY, Mark Lester C.|14.6852989|120.9908765|P222+W5C, Valenzuela, Metro Manila, Philippines|50.61693693693694|34.258823595808344|0.20091358489919725|Optimally Utilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.2572797337827332|2.1116792672726326|18.067557470359006|Cluster_gthn_10km|car|place|14.6|00:25:29|LINESTRING (120.99089 14.68531,120.97404999999995 14.68989999999999,120.97227999999997 14.691649999999994,120.97457999999997 14.693339999999994,120.99718999999997 14.693409999999997,121.00124999999997 14.69329,120.99993999999995 14.695479999999998,120.99913999999997 14.696999999999996,120.97495999999994 14.741719999999992,120.97447999999993 14.742959999999993,120.97839999999992 14.743429999999986,120.9791599999999 14.739859999999988,120.98104999999987 14.739099999999988,120.98726999999982 14.738569999999987,120.98919999999988 14.739979999999985,120.99040999999988 14.740169999999985,120.99072999999989 14.740929999999986,120.9904559999999 14.741125999999987)
24|DOH000000000000897|San Nicolas Health Center|NATIONAL CAPITAL REGION|NCR, FIRST DISTRICT|SAN NICOLAS|BARANGAY 285|Rural Health Unit|NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)|14-10-2019|Operational|Functional|5|20|12|240|1|4|2|2|3|160|130.0|81.25|32.5|50.0|0|14.5985848|120.9709712|50.61693694|34.2588236|0.894165644|09-01-2023 07:00|09-01-2023 18:00|14.5786085|120.9861|1584|TB|SILVESTRE, Sajid|14.571807|121.019685|Hippodromo St, Circuit Makati, Makati, 1630 Metro Manila, Philippines|50.61693693693694|34.258823595808344|0.894165643995175|Optimally Utilized|14.5786085|120.9861|0.25444471868423174|2.1116057941471116|0.25479337089159787|2.111341746775236|2.753983245815512|Cluster_5km|car|place|8.9|00:20:16|LINESTRING (121.01978 14.5717,121.01970999999999 14.57157,121.0188 14.57191,121.01852 14.57126,121.01563000000002 14.571779999999999,121.01290999999998 14.566720000000004,121.00435999999999 14.56728,121.00425999999999 14.5672,121.0029 14.566449999999998,120.99713000000001 14.577109999999992,120.99159000000002 14.570459999999994,120.98053999999998 14.591419999999987,120.97789 14.59487999999999,120.97681000000001 14.596629999999989,120.97618000000001 14.59758999999999,120.97448000000001 14.59687999999999,120.97304000000001 14.59934999999999,120.97138000000002 14.598279999999992)
